Id,BinCode,BinTypeId,Reference,Creator,CreateTime,WarehouseLocationId
1,ACCOUNTS,3,operation use,System Inital,2/2/2021 20:47,1
2,BINNONIV,3,operation use,System Inital,2/2/2021 20:47,1
3,CHARGER,3,operation use,System Inital,2/2/2021 20:47,1
4,CHARGERS,2,Storage only,System Inital,2/2/2021 20:47,1
5,CHARGERS,3,operation use,System Inital,2/2/2021 20:47,1
6,FR010101,1,Picking Using only,System Inital,2/2/2021 20:47,1
7,FR010109,1,Picking Using only,System Inital,2/2/2021 20:47,1
8,FR010201,1,Picking Using only,System Inital,2/2/2021 20:47,1
9,FR020101,1,Picking Using only,System Inital,2/2/2021 20:47,1
10,FR020201,1,Picking Using only,System Inital,2/2/2021 20:47,1
11,FR020209,1,Picking Using only,System Inital,2/2/2021 20:47,1
12,FR020301,1,Picking Using only,System Inital,2/2/2021 20:47,1
13,FR030105,1,Picking Using only,System Inital,2/2/2021 20:47,1
14,FR030113,1,Picking Using only,System Inital,2/2/2021 20:47,1
15,FR030201,1,Picking Using only,System Inital,2/2/2021 20:47,1
16,FR030301,1,Picking Using only,System Inital,2/2/2021 20:47,1
17,FR030309,1,Picking Using only,System Inital,2/2/2021 20:47,1
18,FR040101,1,Picking Using only,System Inital,2/2/2021 20:47,1
19,FR040105,1,Picking Using only,System Inital,2/2/2021 20:47,1
20,FR040201,1,Picking Using only,System Inital,2/2/2021 20:47,1
21,FR040207,1,Picking Using only,System Inital,2/2/2021 20:47,1
22,FR040301,1,Picking Using only,System Inital,2/2/2021 20:47,1
23,FR040305,1,Picking Using only,System Inital,2/2/2021 20:47,1
24,FR040309,1,Picking Using only,System Inital,2/2/2021 20:47,1
25,FR060109,1,Picking Using only,System Inital,2/2/2021 20:47,1
26,FR060201,1,Picking Using only,System Inital,2/2/2021 20:47,1
27,FR060207,1,Picking Using only,System Inital,2/2/2021 20:47,1
28,FR060209,1,Picking Using only,System Inital,2/2/2021 20:47,1
29,FR060301,1,Picking Using only,System Inital,2/2/2021 20:47,1
30,FR060313,1,Picking Using only,System Inital,2/2/2021 20:47,1
31,FR070101,1,Picking Using only,System Inital,2/2/2021 20:47,1
32,FR070109,1,Picking Using only,System Inital,2/2/2021 20:47,1
33,FR070201,1,Picking Using only,System Inital,2/2/2021 20:47,1
34,FR070209,1,Picking Using only,System Inital,2/2/2021 20:47,1
35,FR070301,1,Picking Using only,System Inital,2/2/2021 20:47,1
36,FR070311,1,Picking Using only,System Inital,2/2/2021 20:47,1
37,FZ010201,1,Picking Using only,System Inital,2/2/2021 20:47,1
38,FZ010301,1,Picking Using only,System Inital,2/2/2021 20:47,1
39,FZ010306,1,Picking Using only,System Inital,2/2/2021 20:47,1
40,FZ010308,2,Storage only,System Inital,2/2/2021 20:47,1
41,FZ010311,1,Picking Using only,System Inital,2/2/2021 20:47,1
42,FZ010314,1,Picking Using only,System Inital,2/2/2021 20:47,1
43,FZ010401,1,Picking Using only,System Inital,2/2/2021 20:47,1
44,FZ010407,2,Storage only,System Inital,2/2/2021 20:47,1
45,FZ010409,1,Picking Using only,System Inital,2/2/2021 20:47,1
46,FZ010415,2,Storage only,System Inital,2/2/2021 20:47,1
47,FZ020101,1,Picking Using only,System Inital,2/2/2021 20:47,1
48,FZ030101,1,Picking Using only,System Inital,2/2/2021 20:47,1
49,FZ030107,1,Picking Using only,System Inital,2/2/2021 20:47,1
50,FZ030109,1,Picking Using only,System Inital,2/2/2021 20:47,1
51,FZ030112,1,Picking Using only,System Inital,2/2/2021 20:47,1
52,FZ030115,1,Picking Using only,System Inital,2/2/2021 20:47,1
53,FZ030201,1,Picking Using only,System Inital,2/2/2021 20:47,1
54,FZ030204,1,Picking Using only,System Inital,2/2/2021 20:47,1
55,FZ030207,1,Picking Using only,System Inital,2/2/2021 20:47,1
56,FZ030210,1,Picking Using only,System Inital,2/2/2021 20:47,1
57,FZ030213,1,Picking Using only,System Inital,2/2/2021 20:47,1
58,FZ030301,1,Picking Using only,System Inital,2/2/2021 20:47,1
59,FZ030306,1,Picking Using only,System Inital,2/2/2021 20:47,1
60,FZ030309,1,Picking Using only,System Inital,2/2/2021 20:47,1
61,FZ030313,1,Picking Using only,System Inital,2/2/2021 20:47,1
62,FZ040101,1,Picking Using only,System Inital,2/2/2021 20:47,1
63,FZ040201,1,Picking Using only,System Inital,2/2/2021 20:47,1
64,FZ040208,1,Picking Using only,System Inital,2/2/2021 20:47,1
65,FZ040301,1,Picking Using only,System Inital,2/2/2021 20:47,1
66,FZ040303,1,Picking Using only,System Inital,2/2/2021 20:47,1
67,FZ040308,1,Picking Using only,System Inital,2/2/2021 20:47,1
68,FZ040311,2,Storage only,System Inital,2/2/2021 20:47,1
69,FZ050101,1,Picking Using only,System Inital,2/2/2021 20:47,1
70,FZ050201,1,Picking Using only,System Inital,2/2/2021 20:47,1
71,FZ050208,1,Picking Using only,System Inital,2/2/2021 20:47,1
72,FZ050213,1,Picking Using only,System Inital,2/2/2021 20:47,1
73,FZ050301,1,Picking Using only,System Inital,2/2/2021 20:47,1
74,FZ050304,1,Picking Using only,System Inital,2/2/2021 20:47,1
75,FZ050307,1,Picking Using only,System Inital,2/2/2021 20:47,1
76,FZ050310,1,Picking Using only,System Inital,2/2/2021 20:47,1
77,FZ060101,1,Picking Using only,System Inital,2/2/2021 20:47,1
78,FZ060113,2,Storage only,System Inital,2/2/2021 20:47,1
79,FZ070101,1,Picking Using only,System Inital,2/2/2021 20:47,1
80,FZ070111,1,Picking Using only,System Inital,2/2/2021 20:47,1
81,FZ070201,1,Picking Using only,System Inital,2/2/2021 20:47,1
82,FZ070207,1,Picking Using only,System Inital,2/2/2021 20:47,1
83,FZ070209,1,Picking Using only,System Inital,2/2/2021 20:47,1
84,FZ070301,1,Picking Using only,System Inital,2/2/2021 20:47,1
85,FZ070303,1,Picking Using only,System Inital,2/2/2021 20:47,1
86,FZ070309,1,Picking Using only,System Inital,2/2/2021 20:47,1
87,FZ070401,1,Picking Using only,System Inital,2/2/2021 20:47,1
88,FZ070404,1,Picking Using only,System Inital,2/2/2021 20:47,1
89,FZ070407,2,Storage only,System Inital,2/2/2021 20:47,1
90,FZ070409,1,Picking Using only,System Inital,2/2/2021 20:47,1
91,FZ070411,1,Picking Using only,System Inital,2/2/2021 20:47,1
92,FZ070414,1,Picking Using only,System Inital,2/2/2021 20:47,1
93,OF020311,1,Picking Using only,System Inital,2/2/2021 20:47,1
94,OF020313,1,Picking Using only,System Inital,2/2/2021 20:47,1
95,OF020503,1,Picking Using only,System Inital,2/2/2021 20:47,1
96,OFFICE1,3,operation use,System Inital,2/2/2021 20:47,1
97,OFFICE2,3,operation use,System Inital,2/2/2021 20:47,1
98,OFFICE3,3,operation use,System Inital,2/2/2021 20:47,1
99,OL020114,1,Picking Using only,System Inital,2/2/2021 20:47,1
100,ONLINE,3,operation use,System Inital,2/2/2021 20:47,1
101,PY KITS,3,operation use,System Inital,2/2/2021 20:47,1
102,RA000101,1,Picking Using only,System Inital,2/2/2021 20:47,1
103,RA000201,2,Storage only,System Inital,2/2/2021 20:47,1
104,RA010101,1,Picking Using only,System Inital,2/2/2021 20:47,1
105,RA010201,2,Storage only,System Inital,2/2/2021 20:47,1
106,RA010209,1,Picking Using only,System Inital,2/2/2021 20:47,1
107,RA010301,1,Picking Using only,System Inital,2/2/2021 20:47,1
108,RA010401,2,Storage only,System Inital,2/2/2021 20:47,1
109,RA020101,1,Picking Using only,System Inital,2/2/2021 20:47,1
110,RA020201,1,Picking Using only,System Inital,2/2/2021 20:47,1
111,RA020209,2,Storage only,System Inital,2/2/2021 20:47,1
112,RA020301,2,Storage only,System Inital,2/2/2021 20:47,1
113,RA020401,2,Storage only,System Inital,2/2/2021 20:47,1
114,RA030101,1,Picking Using only,System Inital,2/2/2021 20:47,1
115,RA030201,2,Storage only,System Inital,2/2/2021 20:47,1
116,RA030301,1,Picking Using only,System Inital,2/2/2021 20:47,1
117,RA030401,2,Storage only,System Inital,2/2/2021 20:47,1
118,RA040101,1,Picking Using only,System Inital,2/2/2021 20:47,1
119,RA040201,1,Picking Using only,System Inital,2/2/2021 20:47,1
120,RA040301,1,Picking Using only,System Inital,2/2/2021 20:47,1
121,RA050101,1,Picking Using only,System Inital,2/2/2021 20:47,1
122,RA050201,2,Storage only,System Inital,2/2/2021 20:47,1
123,RA050301,1,Picking Using only,System Inital,2/2/2021 20:47,1
124,RA060101,1,Picking Using only,System Inital,2/2/2021 20:47,1
125,RA060201,1,Picking Using only,System Inital,2/2/2021 20:47,1
126,RA060301,2,Storage only,System Inital,2/2/2021 20:47,1
127,RA060409,2,Storage only,System Inital,2/2/2021 20:47,1
128,RA070101,1,Picking Using only,System Inital,2/2/2021 20:47,1
129,RA070201,1,Picking Using only,System Inital,2/2/2021 20:47,1
130,RA070301,2,Storage only,System Inital,2/2/2021 20:47,1
131,RA070401,1,Picking Using only,System Inital,2/2/2021 20:47,1
132,RA080101,1,Picking Using only,System Inital,2/2/2021 20:47,1
133,RA080201,2,Storage only,System Inital,2/2/2021 20:47,1
134,RA080301,2,Storage only,System Inital,2/2/2021 20:47,1
135,RA080401,1,Picking Using only,System Inital,2/2/2021 20:47,1
136,RB010201,1,Picking Using only,System Inital,2/2/2021 20:47,1
137,RB010203,1,Picking Using only,System Inital,2/2/2021 20:47,1
138,RB010205,1,Picking Using only,System Inital,2/2/2021 20:47,1
139,RB010301,1,Picking Using only,System Inital,2/2/2021 20:47,1
140,RB010307,1,Picking Using only,System Inital,2/2/2021 20:47,1
141,RB010315,1,Picking Using only,System Inital,2/2/2021 20:47,1
142,RB010401,1,Picking Using only,System Inital,2/2/2021 20:47,1
143,RB010403,1,Picking Using only,System Inital,2/2/2021 20:47,1
144,RB010405,1,Picking Using only,System Inital,2/2/2021 20:47,1
145,RB010415,1,Picking Using only,System Inital,2/2/2021 20:47,1
146,RB010501,1,Picking Using only,System Inital,2/2/2021 20:47,1
147,RB010503,1,Picking Using only,System Inital,2/2/2021 20:47,1
148,RB010505,1,Picking Using only,System Inital,2/2/2021 20:47,1
149,RB010507,1,Picking Using only,System Inital,2/2/2021 20:47,1
150,RB010509,1,Picking Using only,System Inital,2/2/2021 20:47,1
151,RB010511,1,Picking Using only,System Inital,2/2/2021 20:47,1
152,RB010513,1,Picking Using only,System Inital,2/2/2021 20:47,1
153,RB010603,1,Picking Using only,System Inital,2/2/2021 20:47,1
154,RB010605,1,Picking Using only,System Inital,2/2/2021 20:47,1
155,RB010609,1,Picking Using only,System Inital,2/2/2021 20:47,1
156,RB010611,1,Picking Using only,System Inital,2/2/2021 20:47,1
157,RB010613,1,Picking Using only,System Inital,2/2/2021 20:47,1
158,RB010705,1,Picking Using only,System Inital,2/2/2021 20:47,1
159,RB010707,1,Picking Using only,System Inital,2/2/2021 20:47,1
160,RB010709,1,Picking Using only,System Inital,2/2/2021 20:47,1
161,RB010711,1,Picking Using only,System Inital,2/2/2021 20:47,1
162,RB010713,1,Picking Using only,System Inital,2/2/2021 20:47,1
163,RB010715,1,Picking Using only,System Inital,2/2/2021 20:47,1
164,RB010801,1,Picking Using only,System Inital,2/2/2021 20:47,1
165,RB010803,1,Picking Using only,System Inital,2/2/2021 20:47,1
166,RB010805,1,Picking Using only,System Inital,2/2/2021 20:47,1
167,RB010807,1,Picking Using only,System Inital,2/2/2021 20:47,1
168,RB010811,1,Picking Using only,System Inital,2/2/2021 20:47,1
169,RB011009,1,Picking Using only,System Inital,2/2/2021 20:47,1
170,RB020101,1,Picking Using only,System Inital,2/2/2021 20:47,1
171,RB020201,1,Picking Using only,System Inital,2/2/2021 20:47,1
172,RB020203,1,Picking Using only,System Inital,2/2/2021 20:47,1
173,RB020205,1,Picking Using only,System Inital,2/2/2021 20:47,1
174,RB020209,1,Picking Using only,System Inital,2/2/2021 20:47,1
175,RB020211,1,Picking Using only,System Inital,2/2/2021 20:47,1
176,RB020215,1,Picking Using only,System Inital,2/2/2021 20:47,1
177,RB020305,1,Picking Using only,System Inital,2/2/2021 20:47,1
178,RB020307,1,Picking Using only,System Inital,2/2/2021 20:47,1
179,RB020309,1,Picking Using only,System Inital,2/2/2021 20:47,1
180,RB020311,1,Picking Using only,System Inital,2/2/2021 20:47,1
181,RB020313,1,Picking Using only,System Inital,2/2/2021 20:47,1
182,RB020405,1,Picking Using only,System Inital,2/2/2021 20:47,1
183,RB020409,1,Picking Using only,System Inital,2/2/2021 20:47,1
184,RB020413,1,Picking Using only,System Inital,2/2/2021 20:47,1
185,RB020415,1,Picking Using only,System Inital,2/2/2021 20:47,1
186,RB020501,1,Picking Using only,System Inital,2/2/2021 20:47,1
187,RB020505,1,Picking Using only,System Inital,2/2/2021 20:47,1
188,RB020507,1,Picking Using only,System Inital,2/2/2021 20:47,1
189,RB020509,1,Picking Using only,System Inital,2/2/2021 20:47,1
190,RB020511,1,Picking Using only,System Inital,2/2/2021 20:47,1
191,RB020513,1,Picking Using only,System Inital,2/2/2021 20:47,1
192,RB020601,1,Picking Using only,System Inital,2/2/2021 20:47,1
193,RB020603,2,Storage only,System Inital,2/2/2021 20:47,1
194,RB020605,1,Picking Using only,System Inital,2/2/2021 20:47,1
195,RB020607,1,Picking Using only,System Inital,2/2/2021 20:47,1
196,RB020609,1,Picking Using only,System Inital,2/2/2021 20:47,1
197,RB020613,1,Picking Using only,System Inital,2/2/2021 20:47,1
198,RB020701,1,Picking Using only,System Inital,2/2/2021 20:47,1
199,RB020705,1,Picking Using only,System Inital,2/2/2021 20:47,1
200,RB020707,1,Picking Using only,System Inital,2/2/2021 20:47,1
201,RB020709,1,Picking Using only,System Inital,2/2/2021 20:47,1
202,RB020711,1,Picking Using only,System Inital,2/2/2021 20:47,1
203,RB020803,1,Picking Using only,System Inital,2/2/2021 20:47,1
204,RB020807,1,Picking Using only,System Inital,2/2/2021 20:47,1
205,RB020809,1,Picking Using only,System Inital,2/2/2021 20:47,1
206,RB020813,1,Picking Using only,System Inital,2/2/2021 20:47,1
207,RB020901,1,Picking Using only,System Inital,2/2/2021 20:47,1
208,RB020909,1,Picking Using only,System Inital,2/2/2021 20:47,1
209,RB020913,1,Picking Using only,System Inital,2/2/2021 20:47,1
210,RB030109,1,Picking Using only,System Inital,2/2/2021 20:47,1
211,RB030201,1,Picking Using only,System Inital,2/2/2021 20:47,1
212,RB030203,1,Picking Using only,System Inital,2/2/2021 20:47,1
213,RB030205,1,Picking Using only,System Inital,2/2/2021 20:47,1
214,RB030207,1,Picking Using only,System Inital,2/2/2021 20:47,1
215,RB030213,1,Picking Using only,System Inital,2/2/2021 20:47,1
216,RB030215,1,Picking Using only,System Inital,2/2/2021 20:47,1
217,RB030301,1,Picking Using only,System Inital,2/2/2021 20:47,1
218,RB030303,1,Picking Using only,System Inital,2/2/2021 20:47,1
219,RB030305,1,Picking Using only,System Inital,2/2/2021 20:47,1
220,RB030309,1,Picking Using only,System Inital,2/2/2021 20:47,1
221,RB030315,1,Picking Using only,System Inital,2/2/2021 20:47,1
222,RB030401,1,Picking Using only,System Inital,2/2/2021 20:47,1
223,RB030405,1,Picking Using only,System Inital,2/2/2021 20:47,1
224,RB030407,1,Picking Using only,System Inital,2/2/2021 20:47,1
225,RB030411,1,Picking Using only,System Inital,2/2/2021 20:47,1
226,RB030501,1,Picking Using only,System Inital,2/2/2021 20:47,1
227,RB030505,1,Picking Using only,System Inital,2/2/2021 20:47,1
228,RB030509,1,Picking Using only,System Inital,2/2/2021 20:47,1
229,RB030513,1,Picking Using only,System Inital,2/2/2021 20:47,1
230,RB030601,1,Picking Using only,System Inital,2/2/2021 20:47,1
231,RB030605,1,Picking Using only,System Inital,2/2/2021 20:47,1
232,RB030609,1,Picking Using only,System Inital,2/2/2021 20:47,1
233,RB030611,1,Picking Using only,System Inital,2/2/2021 20:47,1
234,RB030613,1,Picking Using only,System Inital,2/2/2021 20:47,1
235,RB030703,1,Picking Using only,System Inital,2/2/2021 20:47,1
236,RB030705,1,Picking Using only,System Inital,2/2/2021 20:47,1
237,RB030707,1,Picking Using only,System Inital,2/2/2021 20:47,1
238,RB030709,1,Picking Using only,System Inital,2/2/2021 20:47,1
239,RB030711,1,Picking Using only,System Inital,2/2/2021 20:47,1
240,RB030805,1,Picking Using only,System Inital,2/2/2021 20:47,1
241,RB030809,1,Picking Using only,System Inital,2/2/2021 20:47,1
242,RB030811,1,Picking Using only,System Inital,2/2/2021 20:47,1
243,RB030813,1,Picking Using only,System Inital,2/2/2021 20:47,1
244,RB030901,1,Picking Using only,System Inital,2/2/2021 20:47,1
245,RB030909,1,Picking Using only,System Inital,2/2/2021 20:47,1
246,RB040201,1,Picking Using only,System Inital,2/2/2021 20:47,1
247,RB040207,1,Picking Using only,System Inital,2/2/2021 20:47,1
248,RB040209,1,Picking Using only,System Inital,2/2/2021 20:47,1
249,RB040213,1,Picking Using only,System Inital,2/2/2021 20:47,1
250,RB040301,1,Picking Using only,System Inital,2/2/2021 20:47,1
251,RB040305,1,Picking Using only,System Inital,2/2/2021 20:47,1
252,RB040401,1,Picking Using only,System Inital,2/2/2021 20:47,1
253,RB040409,1,Picking Using only,System Inital,2/2/2021 20:47,1
