Id,PONumber,ItemNumber,OrderQty
1,39623,BCCALCDA0020000,2
2,39623,BFSE00DA0030000,12
3,39623,BFSE00DA0040000,24
4,39623,BFSE00DA0090000,10
5,39623,CFBA00DA0060000,4
6,39623,CFBA00DA0100000,4
7,39623,SFTR00DA0010000,14
8,39623,SFTR00DA0020000,14
9,39623,SFHF00DA0120000,36
10,39623,SFRF00DA0020000,15
11,39536,AACB00BA0020000,1200
12,39963,DXSA00HP0030000,36
13,39389,AECN00EH0040000,406
14,39389,AECN00EH0050000,616
15,39389,AECN00EH0060000,392
16,39389,AAGC00EH0010000,288
17,39389,AECN00EH0380000,216
18,39293,AEKT00AG0030000,360
19,39293,AEKT00AG0050000,160
20,39293,ACSKPAAG0010000,36
21,39293,AEKT00AG0040000,96
22,39292,ADDW00UT0110000,2400
23,39292,ADDW00UT0120000,3200
24,39292,ADDW00UT0050000,540
25,39292,ADDW00UT0060000,450
26,39314,AAGC00PY0210000,48
27,39314,AAGC00PY0230000,30
28,39314,AAGC00PY0270000,30
29,39314,AAGC00PY0170000,50
30,39314,AAGC00PY0360000,60
31,39314,AAGC00PY0370000,60
32,39314,AAGC00PY0410000,60
33,39314,AWWC00PY0010000,288
34,39314,AWWC00PY0040000,60
35,39314,AWBI00PY0050000,384
36,39314,AAGC00PY0250000,5
37,39314,AAGC00PY0200000,5
38,39314,AQAT00PY0040000,180
39,39314,AQAT00PY0030000,500
40,39314,AAGC00PY0290000,60
41,39314,AAGC00PY0310000,144
42,39314,AAGC00PY0280000,60
43,39314,AAGC00PY0320000,60
44,39314,AAGC00PY0330000,96
45,39314,AAGC00PY0380000,96
46,39311,AESLLEJK0330000,48
47,39311,AESLLEJK0340000,24
48,39311,APLGMLJK0200000,36
49,39311,APLGMLJK0210000,6
50,39311,APLGMLJK0220000,6
51,39311,APLGMLJK0230000,12
52,39311,APLGMLJK0350000,6
53,39311,APLGMLJK0370000,3
54,39311,AESLLEJK0290000,36
55,39311,AESLLEJK0310000,24
56,39311,AESLLEJK0320000,6
57,39311,AESLLEJK0270000,12
58,39312,ACGT00AG0210000,2
59,39312,ACGT00AG0240000,12
60,39312,ACGA00AG0150000,2
61,39312,ACGT00AG0230000,6
62,39312,ACGT00AG0090000,36
63,39312,RCTA00AG0130000,48
64,39312,RCTA00AG0100000,24
65,39312,ACGA00AG0310000,72
66,39312,APAR00AG0010000,144
67,39312,ACGA00AG1540000,2
68,39312,ACGA00AG1560000,24
69,39312,ACGA00AG1620000,288
70,39312,AEKTDTAG0020000,48
71,39312,ACKTPAAG0020000,6
72,39312,AESLLEAQ0160000,12
